alpha,beta,theta_c,eta1,eta2,f1_fsdt,f2_fsdt,f3_fsdt,f4_fsdt,f5_fsdt,f6_fsdt,f7_fsdt,f8_fsdt,f9_fsdt,f10_fsdt
0.236752,0.105347,38.466448,0.938010,0.083047,867.769037,1735.892677,1736.539069,2516.583827,3030.111405,3053.670058,3742.178212,3754.411375,4685.214023,4732.968323
0.857908,0.647934,35.396730,1.182722,0.092704,1098.027231,2134.054490,2136.555223,3030.234549,3598.810046,3634.731376,4378.366685,4397.641344,5366.752637,5441.930137
0.146193,0.984526,44.496632,2.275085,0.035106,877.101525,1497.922261,1730.540289,2222.435239,2292.614609,2904.543998,2910.290526,3167.834891,3289.142146,3706.908607
0.891352,0.101687,65.703860,1.958283,0.138485,707.841632,1109.302908,1617.255270,1805.459701,1915.960851,2490.744584,2742.971053,2857.978943,3094.095075,3327.931350
0.499129,0.119299,55.841038,0.871970,0.120702,826.087157,1604.875094,1661.474161,2337.429148,2798.198122,2852.424975,3439.331290,3446.022180,4287.058600,4341.719116
0.655673,0.204517,65.897970,1.828223,0.105811,857.528270,1588.334081,1680.579894,2278.628013,2533.917753,2940.926264,3125.827875,3421.059693,3589.491060,4114.663015
0.689222,0.153674,58.999262,2.394846,0.123628,830.467869,1579.463190,1616.011147,2236.658036,2652.114892,2741.946207,3180.701903,3280.917881,3828.945109,4101.556189
0.485213,0.351297,60.619660,1.745823,0.080474,935.636178,1613.399406,1899.653124,2441.414205,2483.267585,3202.078781,3301.659333,3444.158940,3726.514394,4085.382931
0.660312,0.685180,68.589461,1.985132,0.085142,972.582523,1603.166561,2016.087128,2401.557981,2505.949727,3190.383748,3272.166924,3534.372190,3904.448515,3981.065686
0.574374,0.273459,54.374791,1.753424,0.062522,924.602192,1612.299308,1843.412414,2394.512524,2496.008262,3157.277723,3168.306040,3472.940415,3592.237739,4066.898803
0.591808,0.515197,56.234847,2.697023,0.119258,997.146644,1741.460745,2009.893489,2608.672757,2701.149792,3451.640860,3480.684788,3764.962966,3954.575550,4432.661720
0.488579,0.506262,61.412501,2.585649,0.142638,962.343442,1683.178050,1961.499285,2544.176539,2615.442374,3366.217087,3437.790368,3651.287779,3900.817885,4324.641049
0.398726,0.584355,55.323236,1.067723,0.062213,980.614946,1699.529873,1950.424068,2526.168613,2626.280021,3311.633933,3335.275535,3652.415269,3766.833160,4276.001382
0.848715,0.360084,53.405393,1.357712,0.028112,1043.888343,1806.289786,2040.185967,2645.420770,2778.453543,3424.725698,3490.532273,3845.283848,3900.554538,4467.797332
0.818984,0.102843,63.736192,1.761953,0.138664,748.052460,1264.360547,1628.182454,2030.379125,2121.539100,2766.656836,2817.367486,3145.355293,3258.942271,3767.022255
0.504727,0.455801,48.118859,1.268391,0.091708,1020.085737,1861.529671,2004.081846,2699.467983,2979.028988,3403.409280,3696.529135,3970.714932,4247.960535,4828.057624
0.758714,0.720705,71.509878,1.114994,0.087038,978.508870,1733.970370,1965.668315,2574.942712,2706.537770,3432.136241,3433.740621,3783.827467,3915.993359,4433.175565
