run,alpha,beta,theta_c,eta1,eta2,lc,tc,h_face,hc,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,solve_time_s,total_time_s
43,0.713818,0.284162,49.636303,1.865457,0.11717,0.003,0.00035151,0.0014309100000000003,0.00713818,1173.87116476541,2257.114920459056,2270.6530516901353,3197.2019876496406,3780.53393665526,3820.0499766746134,4591.579615412526,4603.808364797304,5617.48855938424,5646.484906031554,106.2576539516449,173.57380151748657
44,0.82701,0.109266,46.763114,2.811335,0.095259,0.003,0.00028577699999999997,0.0008649499999999999,0.0082701,1190.540222630352,2301.400665297876,2311.4146835953607,3266.197742073451,3871.536903071149,3908.3531956472452,4709.141722360594,4718.809740127479,5777.4479142533155,5801.023534521777,100.90707468986511,167.17111372947693
45,0.766142,0.100068,39.213695,1.4527,0.034239,0.003,0.000102717,0.0011692899999999995,0.00766142,1154.732199909726,2096.990308093148,2105.903234682566,2874.877991148925,3324.5937523692983,3357.642521727735,3967.827050504637,3972.0549165979123,4729.106869153212,4736.215480914843,105.05908036231995,172.2956326007843
46,0.465286,0.447894,68.92039,1.580596,0.067449,0.003,0.000202347,0.00267357,0.00465286,1060.3822511493204,1980.2151318771314,1990.4949126739857,2758.1578095313303,3226.156865613616,3256.0074669243436,3883.2038877363134,3887.6565674818976,4692.772335561092,4699.201886417394,84.15653157234192,150.6890790462494
47,0.28687,0.94537,7.625579,1.521701,0.113811,0.003,0.000341433,0.00356565,0.0028687,1030.9503093186056,1991.710295676619,2005.0824320605022,2833.885997929794,3360.2929491718987,3392.7765152652746,4093.7460308451623,4103.032151911806,5031.96354730863,5051.414228597072,84.2427225112915,151.94735765457153
48,0.836863,0.1476,30.20111,2.901144,0.074516,0.003,0.000223548,0.0008156849999999997,0.00836863,1210.7528634256234,2322.0918112543327,2331.955465755161,3278.7668553838594,3872.4683358661614,3910.140462722217,4696.096158241762,4705.095833219237,5734.558748991127,5756.045454051008,105.31847810745239,173.53141713142395
49,0.671997,0.379317,19.510611,1.75011,0.055879,0.003,0.000167637,0.0016400149999999999,0.00671997,1142.9217620238064,2114.5380298455398,2125.716101536916,2928.827305000923,3410.4464596906028,3444.9255796727657,4091.1946704727297,4097.491810965299,4914.653483066012,4926.470429493304,105.4056887626648,174.03637194633484
50,0.841602,0.603197,56.914786,0.988167,0.125665,0.003,0.000376995,0.00079199,0.00841602,1146.5226538200668,2242.301370373601,2250.888360051233,3205.9795314297003,3821.081969003318,3854.5697934811687,4670.132396386311,4679.042426213948,5772.070063937517,5794.5158717630175,105.59246778488159,174.3425600528717
51,0.459368,0.731495,62.094431,2.2541,0.098764,0.003,0.00029629200000000003,0.0027031599999999996,0.00459368,1084.1876293444773,2060.193585086963,2073.3399320788394,2899.946345767228,3413.992639252453,3447.986823125181,4131.931252217895,4140.3883350849665,5030.940836464792,5047.918247967017,84.09370589256287,148.73762226104736
52,0.315712,0.324036,69.913004,1.450879,0.052292,0.003,0.000156876,0.0034214400000000004,0.00315712,986.0615364549394,1843.18110601773,1850.5540157821265,2568.8766120816317,3009.224546366137,3034.007963027402,3627.1658606808483,3628.3849731165296,4394.5377647627565,4396.1552721676735,83.80636525154114,150.3747193813324
53,0.230239,0.471604,37.266522,1.757435,0.12651,0.003,0.00037953000000000005,0.0038488050000000003,0.00230239,1018.1546233636606,1984.0534024122333,1997.900702836325,2839.6408859009093,3379.6083976180084,3412.544195080419,4132.3755394965365,4142.917278218977,5104.822506006257,5128.028169151054,84.82393264770508,150.82926750183105
54,0.744959,0.658509,60.395441,1.158704,0.024141,0.003,7.2423e-05,0.0012752049999999993,0.007449590000000001,1083.4693427332886,1919.9018273332301,1926.0790703782554,2600.9168207185003,2986.3019217271612,3013.29638985533,3542.6464129884193,3543.725895889031,4189.876153313403,4190.507769472865,104.62192010879517,172.93975973129272
55,0.34532,0.375689,14.899573,2.921709,0.067891,0.003,0.00020367300000000003,0.0032734000000000005,0.0034532,1018.0636678486093,1918.4261448394536,1928.036450224422,2686.395282698025,3154.723928644493,3182.43456342152,3809.9283801952165,3813.7063111766115,4628.319818502661,4633.086764177127,85.02909517288208,150.78567457199097
56,0.477544,0.172532,26.511703,2.476758,0.090944,0.003,0.000272832,0.0026122799999999994,0.004775440000000001,1086.9893655025292,2056.947729273366,2069.6549515849697,2887.853127294663,3394.021419664243,3427.5998139988183,4101.784626771981,4109.618181020593,4983.87754442368,4999.098041825178,84.08877468109131,150.77429175376892
57,0.540255,0.221131,70.261534,2.081547,0.107198,0.003,0.000321594,0.0022987249999999997,0.005402550000000001,1118.8582748831795,2129.7889767846727,2143.9123549611145,3000.8627406870687,3534.217218922883,3571.0335046750583,4279.075197234536,4289.323890382876,5211.3882595851255,5233.429824455373,84.45939612388611,152.38932466506958
58,0.868794,0.348776,70.606191,1.552916,0.078391,0.003,0.000235173,0.0006560300000000002,0.00868794,1196.0357123207864,2314.840946570419,2322.966935457625,3285.4330908559937,3896.5362589708093,3931.9347053052416,4740.76080569344,4748.643775770586,5819.917265742095,5839.217281740834,118.30449032783508,208.95923042297363
59,0.752312,0.133046,43.780448,2.197032,0.046872,0.003,0.00014061599999999998,0.0012384399999999997,0.00752312,1176.3891826414863,2171.8824781378385,2182.4987960589565,3003.5155504375757,3493.41262368066,3529.275031731671,4187.603297237661,4194.042454069981,5022.783946903022,5035.493881128343,125.8353819847107,216.45297026634216
60,0.519491,0.689079,57.705165,1.996876,0.085291,0.003,0.00025587300000000005,0.002402545,0.0051949100000000005,1100.4744186249952,2074.291789496183,2086.917216029443,2905.1171510773265,3408.6546358773185,3442.638084053687,4113.6429337809495,4121.302937222535,4987.531726756357,5002.523430770099,144.4243609905243,220.94754552841187
61,0.368619,0.338936,57.346283,2.100748,0.110997,0.003,0.000332991,0.003156905,0.0036861899999999998,1056.5251504191178,2026.3674076539437,2039.714268932685,2869.35220499322,3391.538477033918,3424.826998811203,4119.396594976192,4128.4127741905895,5041.891068276129,5060.433403810324,97.15799045562744,170.77530431747437
62,0.703633,0.115882,61.096437,1.285285,0.109177,0.003,0.000327531,0.0014818350000000008,0.0070363299999999995,1174.7403508895964,2250.6068864657204,2264.282849991958,3181.0219640609803,3755.4357509846654,3795.005968229069,4555.121806848723,4567.050959297622,5561.7528747685765,5589.625415320607,150.8968186378479,234.18000769615173
63,0.585642,0.929714,59.419424,1.569937,0.079089,0.003,0.00023726700000000002,0.00207179,0.00585642,1124.9442041053665,2112.570464686026,2125.069071468979,2951.67321466301,3457.423602003182,3492.3863750871005,4166.807410373134,4174.498612777995,5040.93916008067,5055.988988019913,144.82293176651,234.764417886734
64,0.271416,0.766345,20.283662,2.31795,0.0892,0.003,0.0002676,0.00364292,0.0027141599999999997,1014.9279373392205,1947.983902111846,1959.6793713037348,2759.341963228398,3263.758195557523,3293.5364447494835,3966.633884791482,3973.4284730334584,4860.850012274669,4873.483765108802,149.84592270851135,253.2032196521759
65,0.289691,0.200099,64.374138,0.620489,0.104167,0.003,0.00031250099999999997,0.0035515449999999997,0.00289691,1028.0497803371918,1979.8496965125637,1992.6629848902792,2810.99240051963,3328.934379562288,3360.5495823030183,4050.6099176496036,4058.9709876638008,4970.929478692121,4987.82448216129,175.6744134426117,275.5180232524872
66,0.747797,0.290425,74.42301,1.390349,0.088197,0.003,0.000264591,0.001261015,0.0074779700000000005,1191.7776390521549,2271.3451124964868,2283.977922267873,3198.5825358509346,3767.525374707654,3806.737009439479,4560.45950923579,4571.186905634673,5551.509831184866,5576.2938291273895,224.36037874221802,326.1401152610779
67,0.236752,0.105347,38.466448,0.93801,0.083047,0.003,0.000249141,0.0038162400000000003,0.00236752,1001.8910886926941,1926.356737297838,1937.5562409848656,2731.581908176564,3233.6740052570963,3262.4698298651733,3933.1033867411293,3939.3465994485296,4825.503823799935,4836.812496562876,161.94102430343628,262.3341934680939
68,0.857908,0.647934,35.39673,1.182722,0.092704,0.003,0.000278112,0.0007104599999999996,0.008579080000000001,1180.9794390322138,2293.8712069267362,2302.2961326930813,3263.849018283295,3877.432433149401,3912.3320030880777,4724.586172809162,4732.964060755516,5813.190637924371,5833.891190182886,219.62502789497375,320.99762201309204
69,0.146193,0.984526,44.496632,2.275085,0.035106,0.003,0.000105318,0.004269035,0.00146193,931.2040379588807,1767.3538990444642,1773.239583612144,2485.3621252906046,2930.4483291038537,2952.592597351221,3553.590920128865,3553.6361151522724,4340.689749113744,4345.3084178726385,97.16822695732117,188.50351786613464
70,0.891352,0.101687,65.70386,1.958283,0.138485,0.003,0.000415455,0.0005432399999999997,0.008913520000000001,1071.1152406927476,2117.772548496622,2122.72163113021,3047.8266713270377,3651.8195475877096,3679.166176558848,4485.175832565925,4490.580670056429,5584.9657892308605,5598.883344942527,106.6205837726593,174.67197561264038
71,0.499129,0.119299,55.841038,0.87197,0.120702,0.003,0.000362106,0.0025043549999999998,0.00499129,1106.269584258575,2116.964037808568,2131.506101487781,2993.095714386223,3533.039631289459,3569.9011605529968,4286.240901369638,4297.163508075459,5235.395731657839,5259.200011150328,85.79931640625,173.52056527137756
72,0.655673,0.204517,65.89797,1.828223,0.105811,0.003,0.000317433,0.0017216350000000004,0.006556729999999999,1161.544998706432,2216.0140924147036,2230.178959061163,3125.164959560923,3683.060025760674,3722.287727799491,4461.354246958493,4472.9416223905,5436.099113304982,5462.429985900921,122.2230327129364,202.1826729774475
73,0.689222,0.153674,58.999262,2.394846,0.123628,0.003,0.00037088400000000004,0.0015538900000000003,0.00689222,1166.719566277737,2244.3295524545524,2258.3614595610625,3180.7272394752135,3761.782620490085,3801.504472722714,4570.040481836522,4582.64454470161,5592.992222182306,5622.811485635959,110.15982913970947,179.47227001190186
74,0.485213,0.351297,60.61966,1.745823,0.080474,0.003,0.000241422,0.002573935,0.0048521300000000005,1082.46184284691,2036.6643381272722,2048.5452648192077,2849.393810925995,3341.5343601130385,3373.916335245452,4030.8289941233857,4037.364917991006,4884.895772489714,4896.852563090675,91.79296445846558,159.0264184474945
75,0.660312,0.68518,68.589461,1.985132,0.085142,0.003,0.000255426,0.0016984400000000003,0.0066031200000000005,1160.9015363717376,2193.5044510850053,2206.8996160013867,3075.20285065328,3609.7819756125614,3647.815964841708,4358.141528945918,4368.053366478413,5284.437596248381,5305.960766375746,108.76017260551453,176.16751527786255
76,0.574374,0.273459,54.374791,1.753424,0.062522,0.003,0.00018756599999999999,0.0021281299999999998,0.005743740000000001,1102.2380090650124,2045.5275719551728,2056.180149263907,2838.483225019689,3310.6595139906767,3342.5743537553976,3975.9690252681644,3980.934893558313,4786.97859758016,4794.831893109498,96.51637959480286,168.23462533950806
77,0.591808,0.515197,56.234847,2.697023,0.119258,0.003,0.000357774,0.00204096,0.00591808,1139.4025506500147,2179.2494769900422,2193.855063480382,3079.174883342684,3633.1057308956492,3671.7048621692456,4405.697845022902,4417.385788639899,5377.128894284702,5403.385918755728,90.54088616371155,160.4001841545105
